scenario,n,mean_cost,sd_cost,ci_lo,ci_hi,mean_ret,sd_ret,se_ret,mean_tie,mean_lang
Baseline,300,3155,405,3109,3201,45.06666666666667,5.53331855849527,0.3194662959259196,0.5018682203659437,1.0460805382863354
No Indoor Continuity,300,4175,603,4107,4244,34.18666666666667,4.628523846636763,0.26722794888063367,0.4730025331830869,0.9870913622746074
Minimal Support,300,3934,593,3866,4001,36.28333333333333,4.760103378021717,0.2748246966671285,0.4397477903105697,1.0159257744713768
Low Park Density,500,3350,468,3309,3391,42.544,5.514061456630216,0.24659632498273343,0.4862079211959875,1.0191121627879622
Weak Peer Influence,500,3386,440,3348,3425,41.994,5.112557137183106,0.22864050595186283,0.5032549127120148,1.0368040464427921
Suboptimal Composition,300,5174,931,5069,5280,27.89,4.805713572732338,0.2774580024865253,0.34300178156560723,0.9536168853853674
High SES Heterogeneity,300,2936,370,2894,2978,48.39333333333333,5.767393836135393,0.33298063838153574,0.5065081547596167,1.0375303911748475
Women-Only Groups,500,3235,421,3198,3272,43.988,5.532909014643988,0.24743921340130673,0.4820596349817663,1.031916197647942
NoIndoor Minimal,300,5035,754,4950,5121,28.393333333333334,4.018180534135471,0.23198976130356283,0.3988291079322183,1.0019405593072988
Targeting50,300,3488,464,3435,3541,40.8,5.068758002934017,0.29264487974510245,0.48161195670483753,1.0214500295490818
Targeting70,300,3436,449,3384,3487,41.416666666666664,5.1941942978259315,0.29988694760730206,0.49726718672478815,1.0308216082586947
Targeting90,300,3345,474,3291,3399,42.64666666666667,5.682969531669322,0.3281063988905724,0.4895315080083166,1.0392942404816548
BuddyProgram,300,2929,351,2889,2969,48.46333333333333,5.672970786755401,0.3275291210838113,0.5167008926104852,1.0447649015595264
RotatingGroups,300,3416,487,3361,3472,41.74333333333333,5.480044877714186,0.3163905385319515,0.5276748025570202,1.0092163344355518
Winter50,300,3361,424,3313,3409,42.263333333333335,4.987005410608682,0.28792489162650425,0.49701526611735886,1.0316576713426389
WomenChildcare,300,3106,391,3061,3150,45.75,5.422685533446397,0.31307889524659666,0.48875453249903034,1.0440556048946927
Composition2,300,4485,735,4402,4569,32.03,5.108432925714277,0.2949355124798285,0.47389909951477055,0.9744340826106775
Composition3,300,3930,606,3861,3998,36.42333333333333,5.288100058589511,0.305308599232833,0.5093081241066497,0.9937848004972019
Composition4,300,3493,479,3439,3548,40.8,5.385475325503343,0.31093056288934423,0.5159128206925313,1.0186470731737223
OpenPopulation,300,3040,410,2994,3087,40.60774427311456,5.278337154948733,0.3047449377283254,0.49937640253776266,0.8512230769037867
SuboptimalOpen,300,4819,946,4711,4926,26.00406424759138,4.602540981303342,0.26572782745117685,0.3513372378788342,0.7728713882464348
CentralityBuddy,300,2812,377,2769,2855,50.556666666666665,5.963107500212103,0.34428017204541334,0.523308756142202,1.0537948117487796
RandomBuddy,300,2806,355,2766,2847,50.63,5.977642290891915,0.34511933857657384,0.5253317151741297,1.0463912419877668
