scenario,n,gender_gap,sd_gap,ci_lo,ci_hi,mean_f_drop,mean_m_drop
Baseline,300,2.74,9.81,1.63,3.86,56.33,53.58
No Indoor Continuity,300,1.47,8.88,0.46,2.48,66.54,65.07
Minimal Support,300,4.14,9.85,3.02,5.26,65.82,61.68
Low Park Density,500,2.06,9.47,1.22,2.89,58.51,56.45
Weak Peer Influence,500,1.85,9.62,1,2.69,58.95,57.1
Suboptimal Composition,300,2.29,9.25,1.24,3.34,73.23,70.94
High SES Heterogeneity,300,2.2,9.38,1.13,3.26,52.72,50.53
Women-Only Groups,500,3.86,9.74,3,4.72,57.92,54.06
NoIndoor Minimal,300,2.38,8.26,1.44,3.32,72.83,70.46
Targeting50,300,3.12,9.32,2.06,4.17,60.75,57.63
Targeting70,300,2.74,9.05,1.71,3.77,59.97,57.23
Targeting90,300,1.98,9.24,0.93,3.03,58.35,56.36
BuddyProgram,300,3.1,9.81,1.99,4.21,53.09,49.99
RotatingGroups,300,2.71,9.75,1.61,3.82,59.63,56.92
Winter50,300,2.92,9.45,1.84,3.99,59.18,56.27
WomenChildcare,300,0.53,9.74,-0.57,1.64,54.55,54.02
Composition2,300,3.15,9.09,2.12,4.18,69.52,66.36
Composition3,300,3.13,10.05,1.99,4.27,65.17,62.04
Composition4,300,3.21,9.97,2.07,4.34,60.82,57.61
OpenPopulation,300,2.74,9,1.72,3.77,60.76,58.02
SuboptimalOpen,300,1.55,8.29,0.6,2.49,74.76,73.22
CentralityBuddy,300,2.78,9.53,1.69,3.86,50.82,48.05
RandomBuddy,300,2.82,9.35,1.75,3.88,50.75,47.94
