scenario,cross_mean,within_mean,diff,t_stat,p_value
Baseline,0.34817256454974355,0.3600569433252034,-0.011884378775459836,-4.15518249460161,4.247338102837662e-5
BuddyProgram,0.35131696907946525,0.35777742459987677,-0.006460455520411523,-2.4522629012024533,0.014767576994330463
High SES Heterogeneity,0.36112887534819843,0.36359834517059575,-0.002469469822397319,-0.92780391616085,0.3542576346445786
Low Park Density,0.3146004699615858,0.342946469141287,-0.02834599917970121,-14.05414880891394,5.005467065231572e-38
Minimal Support,0.32048692387172295,0.36686074020612125,-0.0463738163343983,-13.177909604252406,1.4684192243537435e-31
No Indoor Continuity,0.309975795890691,0.3355310174221162,-0.0255552215314252,-7.138125634254506,7.246948532968125e-12
NoIndoor Minimal,0.29207923582755796,0.335249035501913,-0.043169799674355025,-11.269350289063603,9.213283333578032e-25
RotatingGroups,0.2964836317005398,0.35454822771230865,-0.05806459601176883,-19.935499142920445,7.72112615674698e-57
Suboptimal Composition,0.3395836486831385,0.32056664210645813,0.019017006576680373,3.7526320803051467,2.1095031421172308e-4
Targeting50,0.33761219977672097,0.36223478474269394,-0.02462258496597297,-7.744495202765485,1.4986769209012448e-13
Targeting70,0.34235195570232124,0.36496195239060764,-0.022609996688286393,-6.977759519792537,1.9361602789387615e-11
Targeting90,0.3426547617493954,0.36018252797924016,-0.017527766229844755,-6.006144587155871,5.505904687691051e-9
Weak Peer Influence,0.3471415080807804,0.3585953917934849,-0.011453883712704449,-5.15327877643284,3.6939801404733554e-7
Winter50,0.34366103682414,0.35689665101137497,-0.013235614187234956,-4.45399667776583,1.1921586264236562e-5
Women-Only Groups,0.3395664107627064,0.356474340076746,-0.016907929314039616,-7.464251785133939,3.7575821863416067e-13
WomenChildcare,0.34398275687670476,0.3545892595753553,-0.010606502698650544,-3.700693315698885,2.558912924335549e-4
